state	county	total_loss	closed_loss	open_loss	cwop_loss	total_pay
ALABAMA	AUTAUGA COUNTY	383	259	11	113	5406709.64
ALABAMA	BALDWIN COUNTY	17628	14064	10	3554	550744673.38
ALABAMA	BARBOUR COUNTY	30	17	0	13	678052.93
ALABAMA	BIBB COUNTY	5	2	0	3	4355.14
ALABAMA	BLOUNT COUNTY	24	19	0	5	1084320.81
ALABAMA	BULLOCK COUNTY	3	3	0	0	62114.64
ALABAMA	BUTLER COUNTY	1	0	0	1	0
ALABAMA	CALHOUN COUNTY	110	67	0	43	448275.09
ALABAMA	CHAMBERS COUNTY	18	15	0	3	852624.74
ALABAMA	CHEROKEE COUNTY	10	6	0	4	157312.44
ALABAMA	CHILTON COUNTY	10	7	1	2	58258.98
ALABAMA	CHOCTAW COUNTY	48	36	0	12	444942.06
ALABAMA	CLARKE COUNTY	2	2	0	0	1941.57
ALABAMA	COFFEE COUNTY	576	487	1	88	17256775.47
ALABAMA	COLBERT COUNTY	108	88	0	20	1081799.4
ALABAMA	CONECUH COUNTY	2	1	0	1	6624
ALABAMA	COOSA COUNTY	10	6	0	4	186063.61
ALABAMA	COVINGTON COUNTY	40	26	0	14	450006.02
ALABAMA	CRENSHAW COUNTY	1	1	0	0	63305.59
ALABAMA	CULLMAN COUNTY	16	12	0	4	250408.26
ALABAMA	DALE COUNTY	241	211	0	30	5697141.92
ALABAMA	DALLAS COUNTY	191	146	0	45	1781811.64
ALABAMA	DE KALB COUNTY	33	25	1	7	644575.92
ALABAMA	ELMORE COUNTY	40	25	1	14	584292.04
ALABAMA	ESCAMBIA COUNTY	312	265	0	47	10483394.15
ALABAMA	ETOWAH COUNTY	102	78	0	24	580651.91
ALABAMA	FRANKLIN COUNTY	2	1	0	1	7081.67
ALABAMA	GENEVA COUNTY	164	148	1	15	2816589.86
ALABAMA	GREENE COUNTY	137	115	0	22	711594.23
ALABAMA	HALE COUNTY	144	120	0	24	513168.91
ALABAMA	HENRY COUNTY	5	3	0	2	33975.32
ALABAMA	HOUSTON COUNTY	79	64	0	15	1884054.43
ALABAMA	JACKSON COUNTY	61	47	0	14	515840.41
ALABAMA	JEFFERSON COUNTY	2465	1951	2	512	34783467.38
ALABAMA	LAMAR COUNTY	13	11	0	2	74652.23
ALABAMA	LAUDERDALE COUNTY	120	93	0	27	1020698.22
ALABAMA	LAWRENCE COUNTY	33	31	0	2	437271.58
ALABAMA	LEE COUNTY	73	51	1	21	337564.64
ALABAMA	LIMESTONE COUNTY	598	474	0	124	7603815.75
ALABAMA	LOWNDES COUNTY	9	7	0	2	180670.8
ALABAMA	MACON COUNTY	2	2	0	0	24413.45
ALABAMA	MADISON COUNTY	171	128	0	43	1887633.7
ALABAMA	MARENGO COUNTY	22	14	0	8	38446.97
ALABAMA	MARION COUNTY	22	18	0	4	280246.92
ALABAMA	MARSHALL COUNTY	25	20	0	5	553276.98
ALABAMA	MOBILE COUNTY	14415	11589	9	2817	355070927.17
ALABAMA	MONROE COUNTY	33	28	0	5	118718.06
ALABAMA	MONTGOMERY COUNTY	41	27	1	13	632084.76
ALABAMA	MORGAN COUNTY	75	69	0	6	1513477.17
ALABAMA	PICKENS COUNTY	84	71	0	13	506268.81
ALABAMA	RUSSELL COUNTY	12	5	0	7	118011.59
ALABAMA	SHELBY COUNTY	592	533	0	59	8654251.93
ALABAMA	ST. CLAIR COUNTY	75	48	0	27	567704.59
ALABAMA	SUMTER COUNTY	11	8	0	3	111220.46
ALABAMA	TALLADEGA COUNTY	80	49	0	31	1039821.96
ALABAMA	TALLAPOOSA COUNTY	6	3	0	3	54260.39
ALABAMA	TUSCALOOSA COUNTY	184	115	0	69	1376337.86
ALABAMA	WALKER COUNTY	42	34	0	8	426793.16
ALABAMA	WASHINGTON COUNTY	15	14	0	1	103893.19
ALABAMA	WILCOX COUNTY	16	7	0	9	53420.36
ALABAMA	WINSTON COUNTY	3	0	0	3	0
ALASKA	ANCHORAGE BOROUGH	64	22	0	42	313648.21
ALASKA	ANIAK	3	2	0	1	23411.25
ALASKA	BETHEL CENSUS AREA	45	33	0	12	316817.67
ALASKA	FAIRBANKS NORTH STAR BOROUGH	227	157	0	70	2081316.02
ALASKA	JUNEAU BOROUGH	28	17	0	11	380280.73
ALASKA	KENAI-COOK BOROUGH	77	52	1	24	597613.58
ALASKA	KETCHIKAN GATEWAY BOROUGH	6	3	0	3	99036.47
ALASKA	KOTZEBUE BOROUGH	2	1	0	1	3625.62
ALASKA	MATANUSKA-SUSITNA BOROUGH	78	57	0	21	1721570.79
ALASKA	NOME CENSUS AREA	15	14	0	1	624693.9
ALASKA	SITKA BOROUGH	6	1	0	5	20130.27
ALASKA	UPPER YUKON DIVISION	3	0	0	3	0
ALASKA	VALDEZ-CORDOVA CENSUS AREA	9	6	0	3	132559.35
ALASKA	WRANGELL-PETERSBURG CA	1	0	0	1	0
ALASKA	YUKON-KOYUKUK CENSUS AREA	70	55	2	13	3397281.17
ARIZONA	APACHE COUNTY	7	4	0	3	5743.11
ARIZONA	COCHISE COUNTY	98	49	0	49	481442.25
ARIZONA	COCONINO COUNTY	216	154	0	62	3371888.52
ARIZONA	GILA COUNTY	129	106	0	23	2305124.6
ARIZONA	GRAHAM COUNTY	41	32	1	8	351856.73
ARIZONA	GREENLEE COUNTY	153	141	0	12	2421685.25
ARIZONA	LA PAZ COUNTY	80	46	0	34	823999.7
ARIZONA	MARICOPA	14	8	0	6	114931.02
ARIZONA	MARICOPA COUNTY	2367	1624	2	741	20938615.73
ARIZONA	MOHAVE COUNTY	147	87	0	60	1214283.2
ARIZONA	NAVAJO COUNTY	106	82	0	24	972917.06
ARIZONA	PIMA COUNTY	495	301	0	194	6654294.75
ARIZONA	PINAL COUNTY	104	72	0	32	1734419.83
ARIZONA	SANTA CRUZ COUNTY	168	126	0	42	1455698.49
ARIZONA	YAVAPAI COUNTY	356	261	0	95	3537432.15
ARIZONA	YUMA COUNTY	154	98	0	56	1151314.29
ARKANSAS	CALHOUN COUNTY	7	5	0	2	120430.36
ARKANSAS	DALLAS COUNTY	1	1	0	0	7083.83
ARKANSAS	FRANKLIN COUNTY	45	36	0	9	701504.58
ARKANSAS	GREENE COUNTY	213	148	0	65	859356.36
ARKANSAS	JACKSON COUNTY	169	152	3	14	2925591.37
ARKANSAS	JEFFERSON COUNTY	490	420	0	70	8021058.96
ARKANSAS	LAWRENCE COUNTY	53	47	0	6	763977.21
ARKANSAS	LEE COUNTY	30	27	0	3	340578.78
ARKANSAS	MADISON COUNTY	7	5	0	2	112499.24
ARKANSAS	MARION COUNTY	3	2	0	1	104325.32
ARKANSAS	MONROE COUNTY	165	146	3	16	4370985.06
ARKANSAS	MONTGOMERY COUNTY	86	78	0	8	2019723.52
ARKANSAS	WASHINGTON COUNTY	299	233	8	58	8610750.25
ARKANSAS	ARKANSAS COUNTY	60	43	1	16	876755.51
ARKANSAS	ASHLEY COUNTY	53	45	0	8	764556.25
ARKANSAS	BAXTER COUNTY	116	85	0	31	3046302.77
ARKANSAS	BENTON COUNTY	266	175	15	76	5234840.53
ARKANSAS	BOONE COUNTY	35	19	1	15	442114.81
ARKANSAS	BRADLEY COUNTY	56	48	0	8	764460.35
ARKANSAS	CARROLL COUNTY	2	1	0	1	5936.47
ARKANSAS	CHICOT COUNTY	149	131	0	18	3704166.3
ARKANSAS	CLARK COUNTY	24	19	0	5	441659.71
ARKANSAS	CLAY COUNTY	165	132	12	21	3039122.62
ARKANSAS	CLEBURNE COUNTY	28	18	2	8	1007092.33
ARKANSAS	COLUMBIA COUNTY	8	4	0	4	21810.12
ARKANSAS	CONWAY COUNTY	20	16	0	4	182447.03
ARKANSAS	CRAIGHEAD COUNTY	387	307	1	79	7073144.53
ARKANSAS	CRAWFORD COUNTY	53	36	1	16	999315.2
ARKANSAS	CRITTENDEN COUNTY	829	677	0	152	9546675.99
ARKANSAS	CROSS COUNTY	64	51	0	13	1726292.69
ARKANSAS	DESHA COUNTY	211	165	1	45	2313840.35
ARKANSAS	DREW COUNTY	30	24	0	6	240795.69
ARKANSAS	FAULKNER COUNTY	222	180	1	41	3884714.43
ARKANSAS	FULTON COUNTY	52	44	0	8	1106808.45
ARKANSAS	GARLAND COUNTY	232	170	0	62	3819839.38
ARKANSAS	GRANT COUNTY	12	10	0	2	104401.63
ARKANSAS	HEMPSTEAD COUNTY	4	3	0	1	47332.73
ARKANSAS	HOT SPRING COUNTY	15	11	0	4	28743.69
ARKANSAS	HOWARD COUNTY	22	16	0	6	90029.44
ARKANSAS	INDEPENDENCE COUNTY	179	139	2	38	2109795.67
ARKANSAS	IZARD COUNTY	72	64	1	7	2544165.37
ARKANSAS	JOHNSON COUNTY	5	2	0	3	26439.86
ARKANSAS	LAFAYETTE COUNTY	1	1	0	0	1411.81
ARKANSAS	LINCOLN COUNTY	18	13	0	5	123873.52
ARKANSAS	LITTLE RIVER COUNTY	5	3	0	2	127303.92
ARKANSAS	LOGAN COUNTY	7	5	0	2	78178.62
ARKANSAS	LONOKE COUNTY	68	53	0	15	1078816.88
ARKANSAS	MILLER COUNTY	99	75	0	24	1651906.05
ARKANSAS	MISSISSIPPI COUNTY	64	47	1	16	540631.46
ARKANSAS	NEVADA COUNTY	1	1	0	0	5209.28
ARKANSAS	NEWTON COUNTY	6	6	0	0	114447.65
ARKANSAS	OUACHITA COUNTY	76	62	0	14	1101103.69
ARKANSAS	PERRY COUNTY	16	13	1	2	256855.35
ARKANSAS	PHILLIPS COUNTY	490	402	2	86	3434482.36
ARKANSAS	PIKE COUNTY	10	9	0	1	230064.26
ARKANSAS	POINSETT COUNTY	55	46	0	9	1316999
ARKANSAS	POLK COUNTY	18	14	0	4	180123.2
ARKANSAS	POPE COUNTY	54	47	0	7	810870.22
