"","state","county","policies","insurance","premium"
"1","ALABAMA","AUTAUGA COUNTY",1791,390543300,1279059
"2","ALABAMA","BALDWIN COUNTY",26690,5923523700,13081094
"3","ALABAMA","BARBOUR COUNTY",43,9582400,31422
"4","ALABAMA","BIBB COUNTY",35,5890200,30592
"5","ALABAMA","BLOUNT COUNTY",61,13003700,62263
"6","ALABAMA","BULLOCK COUNTY",12,3346000,5113
"7","ALABAMA","BUTLER COUNTY",11,3650500,10685
"8","ALABAMA","CALHOUN COUNTY",605,112569300,502481
"9","ALABAMA","CHAMBERS COUNTY",60,13473400,74974
"10","ALABAMA","CHEROKEE COUNTY",180,35799400,111177
"11","ALABAMA","CHILTON COUNTY",88,18300900,62949
"12","ALABAMA","CHOCTAW COUNTY",49,7126400,37610
"13","ALABAMA","CLARKE COUNTY",41,6927400,29998
"14","ALABAMA","CLAY COUNTY",1,215800,2676
"15","ALABAMA","CLEBURNE COUNTY",5,1022200,2697
"16","ALABAMA","COFFEE COUNTY",327,69829500,226850
"17","ALABAMA","COLBERT COUNTY",152,29961700,130465
"18","ALABAMA","CONECUH COUNTY",2,687400,1024
"19","ALABAMA","COOSA COUNTY",24,4581200,18819
"20","ALABAMA","COVINGTON COUNTY",147,25639400,117287
"21","ALABAMA","CRENSHAW COUNTY",5,755000,2369
"22","ALABAMA","CULLMAN COUNTY",117,25567700,68982
"23","ALABAMA","DALE COUNTY",481,104782700,293818
"24","ALABAMA","DALLAS COUNTY",370,58966900,325581
"25","ALABAMA","DE KALB COUNTY",87,21211700,79377
"26","ALABAMA","ELMORE COUNTY",325,73947300,222377
"27","ALABAMA","ESCAMBIA COUNTY",216,43748200,335477
"28","ALABAMA","ETOWAH COUNTY",441,87592900,301031
"29","ALABAMA","FAYETTE COUNTY",24,3669900,14430
"30","ALABAMA","FRANKLIN COUNTY",33,4742900,24986
"31","ALABAMA","GENEVA COUNTY",108,22809800,77598
"32","ALABAMA","GREENE COUNTY",95,13990400,64913
"33","ALABAMA","HALE COUNTY",157,21659700,114594
"34","ALABAMA","HENRY COUNTY",38,8633100,37332
"35","ALABAMA","HOUSTON COUNTY",110,20684700,68808
"36","ALABAMA","JACKSON COUNTY",200,35163200,137765
"37","ALABAMA","JEFFERSON COUNTY",2362,529813300,2670392
"38","ALABAMA","LAMAR COUNTY",15,2632000,7658
"39","ALABAMA","LAUDERDALE COUNTY",187,42573400,153338
"40","ALABAMA","LAWRENCE COUNTY",75,12674600,61111
"41","ALABAMA","LEE COUNTY",463,116745700,269790
"42","ALABAMA","LIMESTONE COUNTY",4314,1137376200,3001176
"43","ALABAMA","LOWNDES COUNTY",79,13794500,53330
"44","ALABAMA","MACON COUNTY",34,7303400,16986
"45","ALABAMA","MADISON COUNTY",1000,251436400,528149
"46","ALABAMA","MARENGO COUNTY",104,16212900,93816
"47","ALABAMA","MARION COUNTY",30,5978700,22091
"48","ALABAMA","MARSHALL COUNTY",114,26119400,77218
"49","ALABAMA","MOBILE COUNTY",8275,2154017900,8423808
"50","ALABAMA","MONROE COUNTY",17,2441800,10828
"51","ALABAMA","MONTGOMERY COUNTY",243,56095600,177485
"52","ALABAMA","MORGAN COUNTY",202,44083400,115031
"53","ALABAMA","PICKENS COUNTY",84,15503000,80783
"54","ALABAMA","PIKE COUNTY",15,4033000,13299
"55","ALABAMA","RANDOLPH COUNTY",13,2921000,8603
"56","ALABAMA","RUSSELL COUNTY",56,12660400,37300
"57","ALABAMA","SHELBY COUNTY",791,220968200,605259
"58","ALABAMA","ST. CLAIR COUNTY",612,138211400,381990
"59","ALABAMA","SUMTER COUNTY",44,7850000,31005
"60","ALABAMA","TALLADEGA COUNTY",514,97033300,429263
"61","ALABAMA","TALLAPOOSA COUNTY",107,27507300,62211
"62","ALABAMA","TUSCALOOSA COUNTY",993,220450500,754419
"63","ALABAMA","WALKER COUNTY",134,29058300,129098
"64","ALABAMA","WASHINGTON COUNTY",15,2959000,13251
"65","ALABAMA","WILCOX COUNTY",68,11366700,47034
"66","ALABAMA","WINSTON COUNTY",74,17969800,57643
"67","ALASKA","ANCHORAGE BOROUGH",442,123177600,317761
"68","ALASKA","ANIAK",9,3914900,12531
"69","ALASKA","BETHEL CENSUS AREA",132,32069600,200894
"70","ALASKA","BRISTOL BAY",2,528800,3795
"71","ALASKA","DILLINGHAM CENSUS AREA",2,850000,1640
"72","ALASKA","FAIRBANKS NORTH STAR BOROUGH",710,181579300,566344
"73","ALASKA","HAINES BOROUGH",2,7e+05,788
"74","ALASKA","JUNEAU BOROUGH",330,89559800,206601
"75","ALASKA","KENAI-COOK BOROUGH",322,82565900,225433
"76","ALASKA","KENAI-COOK DIVISION",18,6652000,14027
"77","ALASKA","KETCHIKAN GATEWAY BOROUGH",48,19265400,100187
"78","ALASKA","KOTZEBUE BOROUGH",18,5648500,18271
"79","ALASKA","MATANUSKA-SUSITNA BOROUGH",260,60313500,309296
"80","ALASKA","NOME CENSUS AREA",39,14036100,69794
"81","ALASKA","SITKA BOROUGH",77,23566500,76089
"82","ALASKA","SKAGWAY-YAKUTAT-ANGOON",4,1330000,1470
"83","ALASKA","VALDEZ-CORDOVA CENSUS AREA",43,11714300,42255
"84","ALASKA","WRANGELL-PETERSBURG CA",23,6999300,16001
"85","ALASKA","YUKON-KOYUKUK CENSUS AREA",73,17536900,68069
"86","ARIZONA","APACHE COUNTY",48,9899400,47633
"87","ARIZONA","COCHISE COUNTY",1233,218450200,934842
"88","ARIZONA","COCONINO COUNTY",1114,305138800,990108
"89","ARIZONA","GILA COUNTY",408,74739500,541837
"90","ARIZONA","GRAHAM COUNTY",264,45804300,177862
"91","ARIZONA","GREENLEE COUNTY",38,5541700,36251
"92","ARIZONA","LA PAZ COUNTY",289,62683100,181897
"93","ARIZONA","MARICOPA",56,13000100,40902
"94","ARIZONA","MARICOPA COUNTY",18987,5014648900,10655358
"95","ARIZONA","MOHAVE COUNTY",1183,256580300,570882
"96","ARIZONA","MOJAVE COUNTY",15,3273700,6948
"97","ARIZONA","NAVAJO COUNTY",589,106864800,607283
"98","ARIZONA","PIMA COUNTY",4293,1012394900,3396759
"99","ARIZONA","PINAL COUNTY",1234,309625300,703425
"100","ARIZONA","SANTA CRUZ COUNTY",633,148260900,662055
"101","ARIZONA","YAVAPAI COUNTY",2048,460763400,1468098
"102","ARIZONA","YUMA COUNTY",569,101763300,540296
"103","ARKANSAS","CALHOUN COUNTY",6,175500,2699
"104","ARKANSAS","CLAY COUNTY",220,21988000,144262
"105","ARKANSAS","CLEBURNE COUNTY",172,38124300,153147
"106","ARKANSAS","DALLAS COUNTY",3,328800,2285
"107","ARKANSAS","FRANKLIN COUNTY",23,4610000,17648
"108","ARKANSAS","GREENE COUNTY",666,65459900,303352
"109","ARKANSAS","JACKSON COUNTY",265,33205100,219256
"110","ARKANSAS","JEFFERSON COUNTY",456,66241400,383086
"111","ARKANSAS","LAWRENCE COUNTY",184,20107200,147197
"112","ARKANSAS","LEE COUNTY",97,9913400,81182
"113","ARKANSAS","MADISON COUNTY",16,819200,12114
"114","ARKANSAS","MARION COUNTY",16,2226100,11260
"115","ARKANSAS","MONROE COUNTY",190,18347700,139824
"116","ARKANSAS","MONTGOMERY COUNTY",82,13140100,40014
"117","ARKANSAS","PIKE COUNTY",18,4676700,23508
"118","ARKANSAS","RANDOLPH COUNTY",141,24219900,94752
"119","ARKANSAS","WASHINGTON COUNTY",871,200534200,815484
"120","ARKANSAS","ARKANSAS COUNTY",214,20644200,148565
"121","ARKANSAS","ASHLEY COUNTY",87,9951600,58145
"122","ARKANSAS","BAXTER COUNTY",187,27913500,174061
"123","ARKANSAS","BENTON COUNTY",836,194086000,734782
"124","ARKANSAS","BOONE COUNTY",70,17185800,117930
"125","ARKANSAS","BRADLEY COUNTY",51,4830100,36512
"126","ARKANSAS","CARROLL COUNTY",7,1748900,5864
"127","ARKANSAS","CHICOT COUNTY",316,80132900,178241
"128","ARKANSAS","CLARK COUNTY",103,17040700,77112
"129","ARKANSAS","COLUMBIA COUNTY",11,2212400,11309
"130","ARKANSAS","CONWAY COUNTY",51,7694200,36961
"131","ARKANSAS","CRAIGHEAD COUNTY",1187,172450500,910267
"132","ARKANSAS","CRAWFORD COUNTY",236,44882700,187241
"133","ARKANSAS","CRITTENDEN COUNTY",691,140944900,431956
"134","ARKANSAS","CROSS COUNTY",206,21180600,186450
"135","ARKANSAS","DESHA COUNTY",285,36295300,169410
"136","ARKANSAS","DREW COUNTY",47,6402900,26025
"137","ARKANSAS","FAULKNER COUNTY",693,140078000,478116
"138","ARKANSAS","FULTON COUNTY",40,3937800,32859
"139","ARKANSAS","GARLAND COUNTY",1055,213736000,882766
"140","ARKANSAS","GRANT COUNTY",59,9893600,40575
"141","ARKANSAS","HEMPSTEAD COUNTY",12,1928700,7892
"142","ARKANSAS","HOT SPRING COUNTY",72,15752100,59741
"143","ARKANSAS","HOWARD COUNTY",28,3818100,25428
"144","ARKANSAS","INDEPENDENCE COUNTY",191,30395700,260754
"145","ARKANSAS","IZARD COUNTY",105,16979800,151332
"146","ARKANSAS","JOHNSON COUNTY",126,12438200,95357
"147","ARKANSAS","LAFAYETTE COUNTY",7,227200,3951
"148","ARKANSAS","LINCOLN COUNTY",32,3806900,22988
"149","ARKANSAS","LITTLE RIVER COUNTY",18,994900,10163
"150","ARKANSAS","LOGAN COUNTY",25,1979600,16834
"151","ARKANSAS","LONOKE COUNTY",326,63774400,222035
"152","ARKANSAS","MILLER COUNTY",247,39205600,273757
"153","ARKANSAS","MISSISSIPPI COUNTY",227,37418300,150135
"154","ARKANSAS","NEVADA COUNTY",9,1157200,9225
"155","ARKANSAS","NEWTON COUNTY",2,838100,3625
"156","ARKANSAS","OUACHITA COUNTY",104,14584700,89227
"157","ARKANSAS","PERRY COUNTY",64,7527900,60091
"158","ARKANSAS","PHILLIPS COUNTY",226,32877400,183770
"159","ARKANSAS","POINSETT COUNTY",217,28044500,162879
"160","ARKANSAS","POLK COUNTY",48,5530300,39721
"161","ARKANSAS","POPE COUNTY",214,41428000,202745
"162","ARKANSAS","PRAIRIE COUNTY",95,10065900,75022
"163","ARKANSAS","PULASKI COUNTY",2832,596418200,2359911
"164","ARKANSAS","SALINE COUNTY",359,79652300,195057
"165","ARKANSAS","SCOTT COUNTY",5,1045000,12001
"166","ARKANSAS","SEBASTIAN COUNTY",569,125815400,519695
"167","ARKANSAS","SEVIER COUNTY",28,2923700,24569
"168","ARKANSAS","SHARP COUNTY",91,17013300,80115
"169","ARKANSAS","ST. FRANCIS COUNTY",123,18301800,127220
"170","ARKANSAS","STONE COUNTY",5,1065800,2282
"171","ARKANSAS","UNION COUNTY",132,21334900,145487
"172","ARKANSAS","VAN BUREN COUNTY",33,6007000,41346
"173","ARKANSAS","WHITE COUNTY",346,63838300,251213
"174","ARKANSAS","WOODRUFF COUNTY",67,7752700,52481
"175","ARKANSAS","YELL COUNTY",52,6933100,39031
"176","CALIFORNIA","SANTA CRUZ COUNTY",4298,1096313500,5026432
"177","CALIFORNIA","NEVADA COUNTY",225,59703700,196589
"178","CALIFORNIA","ALAMEDA COUNTY",4273,1240649600,4045738
"179","CALIFORNIA","ALPINE COUNTY",98,4501400,24878
"180","CALIFORNIA","AMADOR COUNTY",194,48698500,173101
"181","CALIFORNIA","BUTTE COUNTY",2754,698849500,2142126
"182","CALIFORNIA","CALAVERAS COUNTY",359,105459900,226031
"183","CALIFORNIA","COLUSA COUNTY",590,164223300,404648
"184","CALIFORNIA","CONTRA COSTA COUNTY",5297,1453902500,5675719
"185","CALIFORNIA","DEL NORTE COUNTY",187,47201500,254653
"186","CALIFORNIA","EL DORADO COUNTY",466,134563900,513718
"187","CALIFORNIA","FRESNO COUNTY",1694,431210100,1246392
"188","CALIFORNIA","GLENN COUNTY",573,117388400,442803
"189","CALIFORNIA","HUMBOLDT COUNTY",894,188427600,898867
"190","CALIFORNIA","IMPERIAL COUNTY",65,12174000,90212
"191","CALIFORNIA","INYO COUNTY",85,22677800,38465
"192","CALIFORNIA","KERN COUNTY",5245,1116619100,3694704
"193","CALIFORNIA","KINGS COUNTY",1253,357782400,612182
"194","CALIFORNIA","LAKE COUNTY",1820,400084600,1555033
"195","CALIFORNIA","LASSEN COUNTY",145,27802000,146825
"196","CALIFORNIA","LOS ANGELES COUNTY",21360,6244918800,19363666
"197","CALIFORNIA","MADERA COUNTY",908,176922800,805956
"198","CALIFORNIA","MARIN COUNTY",8527,2444541700,10055405
"199","CALIFORNIA","MENDOCINO COUNTY",649,147333000,683823
"200","CALIFORNIA","MERCED COUNTY",5433,1143967000,3185800
"201","CALIFORNIA","MODOC COUNTY",102,23172700,70614
"202","CALIFORNIA","MONO COUNTY",170,47177100,135861
"203","CALIFORNIA","MONTEREY COUNTY",2669,722584800,3096029
"204","CALIFORNIA","NAPA COUNTY",1965,554102100,2693437
"205","CALIFORNIA","ORANGE COUNTY",16979,4753586100,18105903
"206","CALIFORNIA","PLACER COUNTY",1545,462866600,1008796
"207","CALIFORNIA","PLUMAS COUNTY",159,36859000,153084
"208","CALIFORNIA","RIVERSIDE COUNTY",6512,1773572200,4510166
"209","CALIFORNIA","SACRAMENTO COUNTY",53530,17296737500,24724964
"210","CALIFORNIA","SAN BENITO COUNTY",195,49865100,220749
"211","CALIFORNIA","SAN BERNARDINO COUNTY",4631,1135722400,4623115
"212","CALIFORNIA","SAN DIEGO COUNTY",10069,2774756300,8669941
"213","CALIFORNIA","SAN FRANCISCO COUNTY",136,38275600,75722
"214","CALIFORNIA","SAN JOAQUIN COUNTY",8352,2515145900,5080561
"215","CALIFORNIA","SAN LUIS OBISPO COUNTY",2465,693524000,2264390
"216","CALIFORNIA","SAN MATEO COUNTY",5548,1588411800,6843072
"217","CALIFORNIA","SANTA BARBARA COUNTY",4346,1198030300,4685608
"218","CALIFORNIA","SANTA CLARA COUNTY",15909,4185307800,15800857
"219","CALIFORNIA","SHASTA COUNTY",1200,291067200,976022
"220","CALIFORNIA","SIERRA COUNTY",77,16576100,104420
"221","CALIFORNIA","SISKIYOU COUNTY",418,90490700,358266
"222","CALIFORNIA","SOLANO COUNTY",3173,873510800,2659699
"223","CALIFORNIA","SONOMA COUNTY",3805,1014115600,3866858
"224","CALIFORNIA","STANISLAUS COUNTY",1216,283627700,995254
"225","CALIFORNIA","SUTTER COUNTY",7722,2461449500,3710962
"226","CALIFORNIA","TEHAMA COUNTY",1196,276325900,1122171
"227","CALIFORNIA","TRINITY COUNTY",117,25733000,82892
"228","CALIFORNIA","TULARE COUNTY",7834,1975183900,5446934
"229","CALIFORNIA","TUOLUMNE COUNTY",69,19567300,46683
"230","CALIFORNIA","VENTURA COUNTY",7394,2102570900,5238607
"231","CALIFORNIA","YOLO COUNTY",4984,1535900300,3075776
"232","CALIFORNIA","YUBA COUNTY",4193,1281478700,1945571
"233","COLORADO","JEFFERSON COUNTY",1267,337455300,1236155
"234","COLORADO","MORGAN COUNTY",115,17253500,158946
"235","COLORADO","WASHINGTON COUNTY",1,60000,744
"236","COLORADO","YUMA COUNTY",15,3378400,22006
"237","COLORADO","LINCOLN COUNTY",10,1592100,16250
"238","COLORADO","LOGAN COUNTY",193,33404100,264776
"239","COLORADO","PHILLIPS COUNTY",6,1319600,9691
"240","COLORADO","LAKE COUNTY",5,1600000,5071
"241","COLORADO","ADAMS COUNTY",1281,330521000,1145247
"242","COLORADO","ALAMOSA COUNTY",48,11817200,27400
"243","COLORADO","ARAPAHOE COUNTY",638,179681200,460899
"244","COLORADO","ARCHULETA COUNTY",134,34494200,101787
"245","COLORADO","BENT COUNTY",6,1155500,4671
"246","COLORADO","BOULDER COUNTY",5738,1477582600,4740640
"247","COLORADO","CHAFFEE COUNTY",130,34066200,107600
"248","COLORADO","CLEAR CREEK COUNTY",130,30929400,159269
"249","COLORADO","CONEJOS COUNTY",8,1354100,11116
"250","COLORADO","COSTILLA COUNTY",6,688600,4436
"251","COLORADO","DELTA COUNTY",59,14207900,54795
"252","COLORADO","DENVER COUNTY",1269,334923200,1217777
"253","COLORADO","DOLORES COUNTY",5,1043100,1528
"254","COLORADO","DOUGLAS COUNTY",412,114058200,198780
"255","COLORADO","EAGLE COUNTY",454,122351200,301489
"256","COLORADO","EL PASO COUNTY",2734,649985100,2233378
"257","COLORADO","ELBERT COUNTY",30,8390500,22274
"258","COLORADO","FREMONT COUNTY",308,65314100,293222
"259","COLORADO","GARFIELD COUNTY",193,58527500,171290
"260","COLORADO","GILPIN COUNTY",25,12210800,80877
"261","COLORADO","GRAND COUNTY",152,29494200,112894
"262","COLORADO","GUNNISON COUNTY",277,71955100,189101
"263","COLORADO","HINSDALE COUNTY",23,6447500,12649
"264","COLORADO","HUERFANO COUNTY",64,8687000,73419
"265","COLORADO","LA PLATA COUNTY",753,212252500,592592
"266","COLORADO","LARIMER COUNTY",1540,420738800,1287523
"267","COLORADO","LAS ANIMAS COUNTY",25,3832100,22133
"268","COLORADO","MESA COUNTY",338,80482000,228844
"269","COLORADO","MINERAL COUNTY",11,2163400,20875
"270","COLORADO","MOFFAT COUNTY",23,5615400,15605
"271","COLORADO","MONTEZUMA COUNTY",115,31327100,127918
"272","COLORADO","MONTROSE COUNTY",108,23191300,91201
"273","COLORADO","OTERO COUNTY",80,9621800,102329
"274","COLORADO","OURAY COUNTY",58,16443400,42628
"275","COLORADO","PARK COUNTY",33,8033500,26072
"276","COLORADO","PITKIN COUNTY",275,76651300,253505
"277","COLORADO","PROWERS COUNTY",66,14227400,74499
"278","COLORADO","PUEBLO COUNTY",167,43283300,112738
"279","COLORADO","RIO BLANCO COUNTY",21,4552000,12816
"280","COLORADO","RIO GRANDE COUNTY",141,34108400,134155
"281","COLORADO","ROUTT COUNTY",391,98130600,283864
"282","COLORADO","SAGUACHE COUNTY",5,420000,5666
"283","COLORADO","SAN JUAN COUNTY",4,1270000,1742
"284","COLORADO","SAN MIGUEL COUNTY",509,125391600,327981
