"","state","county","policies","insurance","premium","total_loss","closed_loss","open_loss","cwop_loss","total_pay"
"1","alabama","autauga",1791,390543300,1279059,383,259,11,113,5406709.64
"2","alabama","baldwin",26690,5923523700,13081094,17628,14064,10,3554,550744673.38
"3","alabama","barbour",43,9582400,31422,30,17,0,13,678052.93
"4","alabama","bibb",35,5890200,30592,5,2,0,3,4355.14
"5","alabama","blount",61,13003700,62263,24,19,0,5,1084320.81
"6","alabama","bullock",12,3346000,5113,3,3,0,0,62114.64
"7","alabama","butler",11,3650500,10685,1,0,0,1,0
"8","alabama","calhoun",605,112569300,502481,110,67,0,43,448275.09
"9","alabama","chambers",60,13473400,74974,18,15,0,3,852624.74
"10","alabama","cherokee",180,35799400,111177,10,6,0,4,157312.44
"11","alabama","chilton",88,18300900,62949,10,7,1,2,58258.98
"12","alabama","choctaw",49,7126400,37610,48,36,0,12,444942.06
"13","alabama","clarke",41,6927400,29998,2,2,0,0,1941.57
"14","alabama","clay",1,215800,2676,NA,NA,NA,NA,NA
"15","alabama","cleburne",5,1022200,2697,NA,NA,NA,NA,NA
"16","alabama","coffee",327,69829500,226850,576,487,1,88,17256775.47
"17","alabama","colbert",152,29961700,130465,108,88,0,20,1081799.4
"18","alabama","conecuh",2,687400,1024,2,1,0,1,6624
"19","alabama","coosa",24,4581200,18819,10,6,0,4,186063.61
"20","alabama","covington",147,25639400,117287,40,26,0,14,450006.02
"21","alabama","crenshaw",5,755000,2369,1,1,0,0,63305.59
"22","alabama","cullman",117,25567700,68982,16,12,0,4,250408.26
"23","alabama","dale",481,104782700,293818,241,211,0,30,5697141.92
"24","alabama","dallas",370,58966900,325581,191,146,0,45,1781811.64
"25","alabama","de kalb",87,21211700,79377,33,25,1,7,644575.92
"26","alabama","elmore",325,73947300,222377,40,25,1,14,584292.04
"27","alabama","escambia",216,43748200,335477,312,265,0,47,10483394.15
"28","alabama","etowah",441,87592900,301031,102,78,0,24,580651.91
"29","alabama","fayette",24,3669900,14430,NA,NA,NA,NA,NA
"30","alabama","franklin",33,4742900,24986,2,1,0,1,7081.67
"31","alabama","geneva",108,22809800,77598,164,148,1,15,2816589.86
"32","alabama","greene",95,13990400,64913,137,115,0,22,711594.23
"33","alabama","hale",157,21659700,114594,144,120,0,24,513168.91
"34","alabama","henry",38,8633100,37332,5,3,0,2,33975.32
"35","alabama","houston",110,20684700,68808,79,64,0,15,1884054.43
"36","alabama","jackson",200,35163200,137765,61,47,0,14,515840.41
"37","alabama","jefferson",2362,529813300,2670392,2465,1951,2,512,34783467.38
"38","alabama","lamar",15,2632000,7658,13,11,0,2,74652.23
"39","alabama","lauderdale",187,42573400,153338,120,93,0,27,1020698.22
"40","alabama","lawrence",75,12674600,61111,33,31,0,2,437271.58
"41","alabama","lee",463,116745700,269790,73,51,1,21,337564.64
"42","alabama","limestone",4314,1137376200,3001176,598,474,0,124,7603815.75
"43","alabama","lowndes",79,13794500,53330,9,7,0,2,180670.8
"44","alabama","macon",34,7303400,16986,2,2,0,0,24413.45
"45","alabama","madison",1000,251436400,528149,171,128,0,43,1887633.7
"46","alabama","marengo",104,16212900,93816,22,14,0,8,38446.97
"47","alabama","marion",30,5978700,22091,22,18,0,4,280246.92
"48","alabama","marshall",114,26119400,77218,25,20,0,5,553276.98
"49","alabama","mobile",8275,2154017900,8423808,14415,11589,9,2817,355070927.17
"50","alabama","monroe",17,2441800,10828,33,28,0,5,118718.06
"51","alabama","montgomery",243,56095600,177485,41,27,1,13,632084.76
